iter	RMSE
256	0.4431925841
257	0.4427165527
258	0.4402676202
259	0.4396879172
260	0.4392318558
261	0.438784862
262	0.4382726672
263	0.4377708135
264	0.4348270661
265	0.4343283345
266	0.4338363643
267	0.4306381727
268	0.4300868842
269	0.4272384053
270	0.4240697698
271	0.4236498658
272	0.4215983547
273	0.4210972607
274	0.4206071166
275	0.4202145037
276	0.4198314123
277	0.4169447237
278	0.4164857233
279	0.4160156186
280	0.4156787872
281	0.4136632968
282	0.4114831096
283	0.4111315264
284	0.4107251911
285	0.4102826222
286	0.4099331049
287	0.4071713274
288	0.4045169286
289	0.4023947407
290	0.4020766964
291	0.3995699542
292	0.399272888
293	0.397244213
294	0.3969053395
295	0.3965965013
296	0.3962950919
297	0.3959762273
298	0.393309543
299	0.3930196945
300	0.3909260179
301	0.3889635629
302	0.3887033028
303	0.3884477658
304	0.3865692398
305	0.3862978671
306	0.3860517951
307	0.3857889379
308	0.3837785972
309	0.3817129616
310	0.3797113142
311	0.3794586124
312	0.3792314022
313	0.3774868987
314	0.377267155
315	0.3745010171
316	0.3727914395
317	0.3725588416
318	0.3723394136
319	0.3721154954
320	0.3694490175
321	0.3679416493
322	0.3677266112
323	0.3675149183
324	0.3648187908
325	0.3646123802
326	0.3633248908
327	0.3631244992
328	0.3629443259
329	0.3617841023
330	0.360195377
331	0.3584002928
332	0.3565508793
333	0.3563615836
334	0.3561759444
335	0.3538028216
336	0.3536372929
337	0.3520798556
338	0.3513546039
339	0.3499143003
340	0.3485430663
341	0.3483184675
342	0.3464885171
343	0.3453693445
344	0.3445217765
345	0.3423740001
346	0.3422204254
347	0.3420696773
348	0.3400356889
349	0.3389895048
350	0.3381728219
351	0.3368130106
352	0.3366620399
353	0.3358837312
354	0.3353028767
355	0.3336451927
356	0.3314035396
357	0.3304355528
358	0.3302924337
359	0.3281452919
360	0.3279765505
361	0.3267315791
362	0.3257964352
363	0.3252574712
364	0.3237458285
365	0.3236201388
366	0.322768445
367	0.3221011155
368	0.3219733224
369	0.3215074148
370	0.319886051
371	0.3197694913
372	0.3187569238
373	0.3186434342
374	0.3185320557
375	0.3167384994
376	0.3157630285
377	0.3146412258
378	0.314293405
379	0.3134245417
380	0.3131693648
381	0.3115564626
382	0.3105036736
383	0.3090092155
384	0.3083969513
385	0.3081617247
386	0.307968937
387	0.3078718543
388	0.3077697534
389	0.3075752284
390	0.3061122049
391	0.3060129636
392	0.3049888888
393	0.3033894167
394	0.302210122
395	0.3010604501
396	0.2997373696
397	0.2983520995
398	0.2972635846
399	0.2959475586
400	0.2945444888
401	0.2939810326
402	0.2924261864
403	0.2919702431
404	0.2914370225
405	0.2911660795
406	0.2899514228
407	0.2886448984
408	0.287467314
409	0.2866215043
410	0.2857988626
411	0.2848694781
412	0.2839117769
413	0.2827686897
414	0.2814464969
415	0.2804350174
416	0.2792873421
417	0.2782632003
418	0.277246012
419	0.2769470962
420	0.2757943448
421	0.2756485205
422	0.2747868817
423	0.274634604
424	0.2734756078
425	0.272663912
426	0.2722333954
427	0.271234937
428	0.2710822715
429	0.2707980467
430	0.2697624487
431	0.2684372559
432	0.2682089594
433	0.2671063082
434	0.266050589
435	0.2651680333
436	0.2642687907
437	0.2638776258
438	0.2630427275
439	0.2620538316
440	0.2612098911
441	0.2606123036
442	0.2604135436
443	0.2602935676
444	0.2595784197
445	0.2587885731
446	0.2585542758
447	0.2576478197
448	0.256689051
449	0.2557030052
450	0.2546763892
451	0.2539339835
452	0.2529375478
453	0.2518896205
454	0.2512446532
455	0.2504039697
456	0.2495460365
457	0.2484981289
458	0.2478378404
459	0.2468840207
460	0.2462974534
461	0.2451118081
462	0.2448747157
463	0.2440410107
464	0.243225828
465	0.2422586213
466	0.2416713424
467	0.2407986469
468	0.2400318484
469	0.2398397971
470	0.2396507973
471	0.2394661548
472	0.2386883415
473	0.2378732418
474	0.23724579
475	0.2370300549
476	0.236464153
477	0.2354841291
478	0.2345630478
479	0.2343345982
480	0.2341111232
481	0.2338302868
482	0.2334211564
483	0.2324649068
484	0.2316945114
485	0.2307943759
486	0.2301002337
487	0.2296044022
488	0.228858544
489	0.2278759494
490	0.2270922546
491	0.2269325164
492	0.2262131488
493	0.2255798995
494	0.224765893
495	0.224001399
496	0.2233651985
497	0.2231768602
498	0.22240523
499	0.2223385098
500	0.2215313892
501	0.2206715053
502	0.2199674874
503	0.2194305372
504	0.2186925528
505	0.2181099696
506	0.2178990342
507	0.2174108611
508	0.2168423188
509	0.2167829033
510	0.2161838012
511	0.2160234056
512	0.2159634771
513	0.215305523
514	0.2148777773
515	0.2141436168
516	0.2140858178
517	0.2136111741
518	0.2135518228
519	0.2134100871
520	0.2127620485
521	0.2119540582
522	0.211776656
523	0.2107625655
524	0.210177762
525	0.2095078414
526	0.208845657
527	0.2081634729
528	0.2081072897
529	0.2077143827
530	0.2068768916
531	0.2063453275
532	0.2058157909
533	0.2051471895
534	0.2046481686
535	0.2042850704
536	0.2039278416
537	0.2034253692
538	0.2028975273
539	0.2025516432
540	0.2019549863
541	0.2012981533
542	0.2005435693
543	0.1999044486
544	0.1993016358
545	0.1989815863
546	0.1986537061
547	0.1983278158
548	0.1978662262
549	0.1973516456
550	0.1968233553
551	0.1966935634
552	0.1958130977
553	0.195674245
554	0.1956327208
555	0.1951712733
556	0.1946604219
557	0.1940912109
558	0.1932938678
559	0.1927896017
560	0.1923662463
561	0.1919936901
562	0.191540567
563	0.1913753811
564	0.191214428
565	0.1909187494
566	0.1901289119
567	0.1899950339
568	0.1893167899
569	0.1887087141
570	0.1885564898
571	0.1884293532
572	0.1878433373
573	0.1877497202
574	0.1876041574
575	0.1874764702
576	0.1871572446
577	0.1866486129
578	0.1860613205
579	0.1860191698
580	0.185583507
581	0.1849892163
582	0.1841292116
583	0.1835730972
584	0.1827847608
585	0.1826433225
586	0.1821922704
587	0.1820817467
588	0.1816089716
589	0.1812188595
590	0.1807825151
591	0.1805299112
592	0.1801056245
593	0.1798357359
594	0.1793137711
595	0.1790488101
596	0.178784647
597	0.1783877058
598	0.1783041199
599	0.1777889428
600	0.1772773141
601	0.1768237885
602	0.1762480858
603	0.1762056718
604	0.175914694
605	0.1754613527
606	0.1748977934
607	0.1748672409
608	0.174737562
609	0.1744606282
610	0.1740513975
611	0.1739445376
612	0.1734642712
613	0.173074537
614	0.1728215283
615	0.1722002458
616	0.1719941906
617	0.1719640209
618	0.1714962974
619	0.1714189762
620	0.1709263216
621	0.1705006706
622	0.1699788295
623	0.1697586219
624	0.1694177136
625	0.1690412612
626	0.1688097918
627	0.1684915077
628	0.1678968917
629	0.1673998205
630	0.1673669549
631	0.1668917706
632	0.1667161759
633	0.1666838925
634	0.1663431161
635	0.1660236626
636	0.1655762888
637	0.1651769361
638	0.1651055321
639	0.1650340712
640	0.1649423505
641	0.1648313482
642	0.1645344784
643	0.1642315744
644	0.1638096741
645	0.1633832735
646	0.1630140438
647	0.1625030649
648	0.1624777217
649	0.16205207
650	0.1614279239
651	0.1611185081
652	0.1604670559
653	0.1599950804
654	0.1597564328
655	0.1597246341
656	0.1593242781
657	0.1587436739
658	0.1584172627
659	0.1583924034
660	0.15811546
661	0.1576752252
662	0.1573437706
663	0.1568941348
664	0.156433437
665	0.1564067261
666	0.1563210685
667	0.1558273513
668	0.1554091763
669	0.1551241666
670	0.1550962528
671	0.1550190592
672	0.1545778598
673	0.1543603753
674	0.1540715511
675	0.1540412866
676	0.1540179565
677	0.1539950418
678	0.1537843133
679	0.15370356
680	0.1531594631
681	0.152808064
682	0.152709327
683	0.1523763144
684	0.1522317549
685	0.1517608076
686	0.1513349672
687	0.1512036336
688	0.1511818897
689	0.1509036685
690	0.1506430656
691	0.1502916434
692	0.1500192389
693	0.149746365
694	0.1494372251
695	0.1489760903
696	0.1489548458
697	0.1485741392
698	0.1485487178
699	0.1483088864
700	0.1482882191
701	0.1482644865
702	0.148083717
703	0.1480624641
704	0.1478391376
705	0.1477475184
706	0.1473632264
707	0.1471255924
708	0.1467953082
709	0.1463659212
710	0.146100373
711	0.1457606642
712	0.1457412167
713	0.1457201709
714	0.1457002766
715	0.1454171048
716	0.1453975362
717	0.1451500064
718	0.1451319656
719	0.1449317252
720	0.1444411875
721	0.1443704849
722	0.1439764506
723	0.1437091813
724	0.1436492796
725	0.1433662374
726	0.1429226297
727	0.1427621835
728	0.1427429006
729	0.1425098333
730	0.1421635287
731	0.1419681116
732	0.1419471317
733	0.1416460032
734	0.1413482455
735	0.1412303518
736	0.1409611073
737	0.140647963
738	0.140317315
739	0.1400663457
740	0.1400457067
741	0.1396026004
742	0.1393317613
743	0.1393126842
744	0.1390676853
745	0.1390505402
746	0.1388377506
747	0.1387302996
748	0.1384758582
749	0.138244149
750	0.1378669101
751	0.1377719387
752	0.1377114788
753	0.1376926223
754	0.1372428995
755	0.1372253798
756	0.1370235019
757	0.1367324163
758	0.1365591648
759	0.1361264265
760	0.1361107193
761	0.1357926525
762	0.1354569203
763	0.1352871977
764	0.1352593923
765	0.1349562178
766	0.1344578408
767	0.1344429943
768	0.1342090984
769	0.1341926654
770	0.1341768593
771	0.1341615928
772	0.1341477201
773	0.1338124866
774	0.1336729597
775	0.1333979118
776	0.1332269964
777	0.1330065016
778	0.1328836512
779	0.1326180716
780	0.1326042793
781	0.1323838434
782	0.1322319874
783	0.132031298
784	0.1317287278
785	0.1314982377
786	0.1312118823
787	0.1311307233
788	0.1308359297
789	0.130815413
790	0.1306147581
791	0.130601105
792	0.1302810796
793	0.1302051811
794	0.1299090601
795	0.1296040534
796	0.1293895015
797	0.1291952128
798	0.1289583511
799	0.1289045334
800	0.1286386106
801	0.1283902932
802	0.1280251547
803	0.1277797255
804	0.1277290722
805	0.127366269
806	0.1270356573
807	0.1268304664
808	0.1265235157
809	0.1262394169
810	0.1259643291
811	0.12555444
812	0.1254478111
813	0.1253048898
814	0.1251321857
815	0.1248159373
816	0.1247692519
817	0.1245155842
818	0.1244734878
819	0.1243853686
820	0.124309591
821	0.1240367835
822	0.1237431119
823	0.1236973561
824	0.1236764564
825	0.1234089259
826	0.1233643235
827	0.1230142135
828	0.1230016698
829	0.1227909035
830	0.1224992546
831	0.1221943193
832	0.1221755625
833	0.1218633761
834	0.1216602634
835	0.1213130126
836	0.1211100509
837	0.1209679767
838	0.1205976464
839	0.1204022585
840	0.1201909962
841	0.1201668301
842	0.1200556611
843	0.1198373728
844	0.1195501523
845	0.1192660805
846	0.1191074093
847	0.1190264507
848	0.1187388717
849	0.1185668095
850	0.1184715556
851	0.1182065404
852	0.1179178067
853	0.1177510684
854	0.1177329232
855	0.1177149267
856	0.1174905861
857	0.1172916246
858	0.11727688
859	0.1172624905
860	0.1170855636
861	0.1168910453
862	0.1167030817
863	0.1166906183
864	0.1164262738
865	0.1161039511
866	0.1160936522
867	0.1157753407
868	0.1157300863
869	0.1155813703
870	0.1153836888
871	0.1149788536
872	0.114804833
873	0.1146737558
874	0.1146567384
875	0.1144528777
876	0.1143802161
877	0.114342574
878	0.114124757
879	0.1140357236
880	0.1138146972
881	0.113751991
882	0.1137422506
883	0.1133860651
884	0.1133291863
885	0.1132078167
886	0.1129192787
887	0.1129076514
888	0.1127142972
889	0.112562795
890	0.1123011374
891	0.1122690705
892	0.1121183955
893	0.11198169
894	0.1117500102
895	0.1114737097
896	0.1113551041
897	0.111147993
898	0.110944931
899	0.1106983746
900	0.1106001715
901	0.1105712314
902	0.1103041963
903	0.110008301
904	0.1099527548
905	0.1097320229
906	0.1094471454
907	0.109313371
908	0.1090774587
909	0.108845849
910	0.1085649281
911	0.1083629982
912	0.108073386
913	0.1080445419
914	0.1078407079
915	0.1078156552
916	0.1077024394
917	0.1074686259
918	0.1071972388
919	0.1071860893
920	0.1070265177
921	0.1067271574
922	0.1067085169
923	0.1066375318
924	0.1063945012
925	0.1063805779
926	0.1062156497
927	0.1060355078
928	0.1058701064
929	0.1056939606
930	0.1054841494
931	0.1053723444
932	0.1053496936
933	0.1053162704
934	0.1051952718
935	0.1048658243
936	0.1046540572
937	0.1044948973
938	0.1041610693
939	0.1038311099
940	0.1038210521
941	0.1036777279
942	0.1035106195
943	0.1034965526
944	0.1032769894
945	0.1031281294
946	0.1029186516
947	0.1027663139
948	0.1027413514
949	0.1025228393
950	0.1023758642
951	0.1022514882
952	0.1021259665
953	0.1018828809
954	0.1018622368
955	0.1016690281
956	0.1015512476
957	0.1013682015
958	0.1012587958
959	0.101169161
960	0.1010270049
961	0.1010189397
962	0.1010081409
963	0.1009937517
964	0.100775255
965	0.1006428789
966	0.1003687897
967	0.1003558825
968	0.1001894774
969	0.1000290986
970	0.09999343244
971	0.09976603996
972	0.09970290236
973	0.09967926941
974	0.09949720828
975	0.09948527673
976	0.09929958866
977	0.09929256412
978	0.09928306011
979	0.09927025194
980	0.09907567131
981	0.09893668318
982	0.09871386963
983	0.09841621719
984	0.09835053101
985	0.09820865929
986	0.09807657353
987	0.09805660301
988	0.09790221816
989	0.09779455364
990	0.09778623368
991	0.09750877962
992	0.09750161187
993	0.09738183136
994	0.09721791208
995	0.09695916835
996	0.09670618758
997	0.0966345618
998	0.09634815802
999	0.0963270594
